attributeId,siteVisitName,siteVisitId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-58847,20201020,http://linked.data.gov.au/dataset/ausplots/sv-58847,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Plot is homogenous- 75m from centre is same community.  Slightly more open through the centre of the plot.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-58847,20201020,http://linked.data.gov.au/dataset/ausplots/sv-58847,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,130m  from north east corner is property access track.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-58781,20190730,http://linked.data.gov.au/dataset/ausplots/sv-58781,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,60.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-58781,20190730,http://linked.data.gov.au/dataset/ausplots/sv-58781,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Plot is homogenous- community extends across the track and for 200m+ to the south.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-58781,20190730,http://linked.data.gov.au/dataset/ausplots/sv-58781,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,Plot is homogenous- community extends across the track and for 200m+ to the south.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-visit_notes-58784,20190728,http://linked.data.gov.au/dataset/ausplots/sv-58784,visit notes,http://linked.data.gov.au/def/tern-cv/c5b8b894-b5ee-49bf-be93-52491afe73a9,no basal - not enough canopy,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-58784,20190728,http://linked.data.gov.au/dataset/ausplots/sv-58784,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,90.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-58784,20190728,http://linked.data.gov.au/dataset/ausplots/sv-58784,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Extensive community along dune slope to the south.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-58784,20190728,http://linked.data.gov.au/dataset/ausplots/sv-58784,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,To the north is turnaround area for Steep Point car park. North east corner is about 15m from track moving away to the north west corner which is about 35m south of turnaround area.  ,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-53559,20130319,http://linked.data.gov.au/dataset/ausplots/sv-53559,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,520.0,N/A,Metre,http://qudt.org/vocab/unit/M
