dataset,datasetId,project,projectId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Daintree Rainforest, Cape Tribulation, core1ha",https://w3id.org/tern/resources/438e4303-582f-43b5-8b2a-5721b5a47b9b,20141010,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cape_tribulation__core1ha_20141010,2014-10-10T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Daintree Rainforest, Cape Tribulation, core1ha",https://w3id.org/tern/resources/438e4303-582f-43b5-8b2a-5721b5a47b9b,20141027,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cape_tribulation__core1ha_20141027,2014-10-27T00:00:00Z,2014-10-30T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Daintree Rainforest, Cape Tribulation, core1ha",https://w3id.org/tern/resources/438e4303-582f-43b5-8b2a-5721b5a47b9b,20150414,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cape_tribulation__core1ha_20150414,2015-04-14T00:00:00Z,2015-04-17T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Daintree Rainforest, Cow Bay, core1ha",https://w3id.org/tern/resources/48396239-7335-422b-9f13-a31054306d71,20120706,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cow_bay__core1ha_20120706,2012-07-06T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Fletcherview Tropical Rangeland, QDAEIU0008",https://w3id.org/tern/resources/6c6aeeff-8712-471c-b2bf-2fa1120a981e,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0008_20211020,2021-10-20T00:00:00Z,2021-10-22T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Fletcherview Tropical Rangeland, QDAEIU0009",https://w3id.org/tern/resources/c83c9917-36ea-4d9e-ae5f-4cb572edb4eb,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0009_20211020,2021-10-20T00:00:00Z,2021-10-22T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Fletcherview Tropical Rangeland, QDAEIU0010",https://w3id.org/tern/resources/869b9165-9e94-4914-af48-ab8e07c91e9f,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0010_20211020,2021-10-20T00:00:00Z,2021-10-22T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, core1ha",http://linked.data.gov.au/dataset/ausplots/site-waacoo0020,20121018,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20121018,2012-10-18T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, core1ha",http://linked.data.gov.au/dataset/ausplots/site-waacoo0020,20141101,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20141101,2014-11-01T00:00:00Z,2014-11-04T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, core1ha",http://linked.data.gov.au/dataset/ausplots/site-waacoo0020,20150301,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20150301,2015-03-01T00:00:00Z,2015-03-04T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, core1ha",http://linked.data.gov.au/dataset/ausplots/site-waacoo0020,20181104,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20181104,2018-11-04T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, WAACOO0021",http://linked.data.gov.au/dataset/ausplots/site-waacoo0021,20121018,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__waacoo0021_20121018,2012-10-18T00:00:00Z,N/A,
